,mw3a3264af_63ed_4289_a17a_a14fb9d67eff,mw76465d1e_cf23_4b01_8554_20dd288edbd4,mwf28b5b41_dded_4f05_85a9_31b845b5a48d,mw74dc94dc_3350_40dc_8283_cf793630d973,mwb94475cd_d488_489d_b1fc_5b2ae6fb2aca,mwb7c043de_2d90_4ac3_a930_e270f276eaed,mwe356ca0b_cefd_47be_b766_6622e329dacf,mw7ca0a4aa_496a_48e2_b6e1_3d91d1d32180,mw509c3dcf_ce86_4d27_b3a4_80e5a27d1015,mw4df8e99a_bf7a_420c_b5b1_725efd98e423
0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.22222222222222,12536.416438661046,4273.5647367796655,3.308402159004321e-22,-1.2569163229246645e-23,302.55366997325444,272.8317403778155,621.095958297434,45.04728001322659,974.2450879487658,974.2450879487658
44.44444444444444,6735.134115249176,7905.898097607922,4.190104042516993e-22,2.1583693913525537e-22,226.96778687487577,231.01178052336897,920.0341702735519,44.25547733273801,1968.349286069169,1968.349286069169
66.66666666666666,2870.1104056217227,9901.618599768412,-3.019233787413381e-23,-5.313225407706653e-22,132.37402167982972,154.87544989803655,1039.6577968805407,41.89520734319332,2929.7342594041197,2929.7342594041197
88.88888888888889,962.9931856068528,10232.479203302111,-3.7451960239903614e-22,-3.007255858232674e-22,54.84648767711029,83.92459342706772,1009.5464088156697,36.85769245343162,3809.6762143588667,3809.6762143588667
111.11111111111111,277.31887354109205,9585.37652875148,-1.9573826365375487e-22,-6.275673279729434e-22,17.49724825441524,48.371485392763354,919.3945704048497,30.890447102849787,4560.575423276263,4560.575423276263
133.33333333333331,75.08839804605174,8645.37862225038,-1.5953202151759197e-22,-6.275673279729434e-22,5.083540821830411,34.13782795167517,820.9389395027247,26.63687404493712,5196.36789869119,5196.36789869119
155.55555555555554,19.949038298729906,7692.0614888495575,-1.544396664626911e-22,-6.275673279729434e-22,1.541382185093741,26.989019686640336,727.4835121397484,23.699568482600625,5754.137995178807,5754.137995178807
177.77777777777777,5.2718413173136796,6801.772533878533,-1.7375903420904292e-22,-6.275673279729434e-22,0.5601713516158905,22.221485541705903,641.8767372896182,21.295715336879603,6253.500757642159,6253.500757642159
200.0,1.391091035391738,5991.600676240057,-1.5219244873065353e-22,-6.275673279729434e-22,0.27569232215163014,18.54579452378866,564.5472129485462,19.120756947083315,6702.259387991485,6702.259387991485
