,cpep,cglcex,cg6p,cpyr,cf6p,cg1p,cpg,cfdp,csed7p,cgap,ce4p,cxyl5p,crib5p,cdhap,cpgp,cpg3,cpg2,cribu5p
0.0,2.67,2.0,3.48,2.67,0.6,0.653,0.808,0.272,0.276,0.218,0.098,0.138,0.398,0.167,0.008,2.13,0.399,0.111
1.1111111111111112,1.9267597905330485,1.9703200246464514,4.430954768163876,4.128664451338057,0.7594431502027852,0.6644520676793904,0.8307686079126935,0.5778592943160344,0.3206343869355085,0.2722678596879398,0.11854930363995084,0.1736746598889698,0.4372096165372952,0.2455829029187812,0.0025515928660799596,1.5875876840951897,0.2932806204609199,0.1288508359351783
2.2222222222222223,2.03936055797325,1.9547291165975749,4.6054180658617785,4.327081471638988,0.7904758845956019,0.6784574424790661,0.8579056239830224,0.6280547328427213,0.3444479103702331,0.2753652313422834,0.12362677548109238,0.17687504331123258,0.4754477283144205,0.2597439345087868,0.0020721947901086663,1.6856610559285987,0.31090680601981724,0.13472908824948224
3.3333333333333335,2.2542588563122745,1.9408053651579564,4.8101985913418295,4.348935275795265,0.8261011040585416,0.6943247888126846,0.8858279637446554,0.5423627091752713,0.3784720211155283,0.2551804747208833,0.12029464726114604,0.17652980037207072,0.4868859210385584,0.24034937800582673,0.001994720234071206,1.8586635444301598,0.3431912743687203,0.13572943882728422
4.444444444444445,2.4497208268459145,1.9278939222821287,4.995519666160585,4.315046448080979,0.8580780328826054,0.7119524794624913,0.9143393051488415,0.47445591273092974,0.40961680312952253,0.2393244715690089,0.11718902603657463,0.17678260330791376,0.49135921696975227,0.22319830713231256,0.0020132000749043385,2.0139297570227512,0.37234606093301786,0.1360015483260392
5.555555555555555,2.6148257299866047,1.9156960801553355,5.145834334090039,4.268211986812418,0.8839041678759509,0.7304249752986576,0.9424331596597244,0.44987422223528706,0.4315738451322527,0.2342030036058869,0.11695687790066564,0.17865897940138215,0.49719954078912276,0.21644674102509914,0.0020776532510280834,2.1454140475082535,0.39700656941055323,0.1369392447553838
6.666666666666667,2.7611263871635643,1.9039663764250698,5.264867320785482,4.225779003403849,0.9042945907904344,0.748916457961193,0.969308882479133,0.46004185180647955,0.44359733894956865,0.23863592312125204,0.1195591176419731,0.18213636816865691,0.5065924133434844,0.21884173062873777,0.0021764055940572385,2.262980603680445,0.4189676932380842,0.13886858580731
7.777777777777779,2.897836933554363,1.8925230836546998,5.360373655877323,4.193105259998815,0.9206172516535643,0.7668679873916706,0.9945816549287261,0.49409406120126004,0.4480526171786212,0.2496794147668902,0.12412019965786494,0.1867071802647862,0.5188643571522378,0.22732753153794852,0.0023032888016978536,2.3737589374534527,0.4395855057785777,0.14157354996636276
8.88888888888889,3.0284368943290056,1.8812477755825845,5.438915941064591,4.170094079813491,0.9340162792881738,0.7839339761920795,1.0181703902037043,0.5449480804523301,0.4477375293634572,0.26492515089744273,0.1298520358519066,0.19188395877807593,0.5327744217540659,0.23952561963856445,0.0024528228404949314,2.480182479501559,0.45934562951335983,0.14474278189921252
10.0,3.152458511653366,1.8700714403420653,5.504801620300026,4.154645161239493,0.9452379924049052,0.7999023950370862,1.0401510451389975,0.6088194763394961,0.4446814109355462,0.2828537337932525,0.13625074924178018,0.19733802729016595,0.5474096129214178,0.25400982251718945,0.0026198027072239396,2.581665071707559,0.47815677694554526,0.14814349281476066
