,Gp,Ai,Am,Ap,Gm,Gi
0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,1.0,1.0
0.5555555555555556,4.6156219088000965,0.46253793169951907,0.9178477305812762,0.9856762263856981,0.7637654820941899,0.6145793649215904
1.1111111111111112,21.246509057436747,0.5888690287378496,1.6545844860163499,1.2539571834588858,2.992215225347848,1.440776001022729
1.6666666666666667,11.377912263583726,1.099798171501829,2.2936661664318345,2.156611103834244,1.6534738324120721,2.0058257136355158
2.2222222222222223,2.5424532483324165,0.8091515899690196,1.446558688891901,1.7809445510579425,0.46705397683164973,1.0351366173729712
2.7777777777777777,3.664777262056201,0.4393428413219612,0.9013375762852512,1.1123442081111847,0.6554650794819934,0.602086578016538
3.3333333333333335,17.388724696851458,0.5007116554171539,1.3906143532502167,1.1076588451183629,2.5713728858106184,1.189643096927785
3.8888888888888893,15.593874618498852,1.0631929078399285,2.3687934968027062,2.0725311020511263,2.1516443495423903,2.1145833802100777
4.444444444444445,2.9580350574315273,0.8991346896603695,1.606657960397757,1.9186297584830545,0.5321253171898301,1.1961359881176075
5.0,2.9151138711004587,0.4830612485853703,0.9476434971896964,1.207755609989836,0.5315966545891115,0.6200430709932602
