,0.0,4.1336111119017005,4.433611110784113,5.867222221568227,6.0672222236171365,6.567222221754491,13.034166667610407,13.834444443695247,15.768055555410683,17.568055557087064,19.03499999921769,23.95444444566965,24.102222223766148,28.00249999947846,30.869722221046686,32.73638888821006,35.60333333350718,36.67000000085682,38.636944443918765,39.23694444447756,39.9702777788043,40.67027777899057,40.9369444437325,42.37055555451661,46.43750000093132,47.82111110910773,48.0377777768299,48.70444444566965,49.237777777947485,53.13833333272487,54.67166666686535,55.80527777876705,57.30527777876705,57.33861111011356,58.938888888806105,62.07250000163913,65.37277777679265,69.9063888899982,70.63972222153097,71.17333333287388,71.85444444604218,72.24000000022352,73.57333333231509,75.17361111100763,75.84027777705342,76.04027777910233,76.20694444421679,76.94055555481464,78.60722222272307,79.97416666802019,81.87444444559515,82.47444444335997,82.80777777917683,83.20777777768672,84.50777777843177,84.60777777805924,86.7747222231701,87.14138889033347,89.10833333339542,89.27500000130385,92.67527777887881,95.04222222324461,95.24222222249955,95.27111111115664
GLUC,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
SHK,0.0,,,,,,,,,,,0.039,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,0.051
TYR,0.0,,,,,,,,,,,0.195,,,,,,,,,,,,,,0.323,,,,,,,,,,,,,,,0.526,,,,,,,,,,,,,,,,,,,,,,,0.501
PHE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,0.0,,,,,,,,,,,0.735,,,,,,,,,,,,,,1.847,,,,,,,,,,,,,,,2.696,,,,,,,,,,,,,,,,,,,,,,,2.456
CO2,0.0,0.007468084050358699,0.00816012658154479,0.012295822514119438,0.012933798827802503,0.014632185841495417,0.06049822281375952,0.0684314665034897,0.08676896627501053,0.10869474557610409,0.13207071755826488,,0.24803346660868164,0.3977803587711264,0.5587542388230607,0.6732029676609921,0.842120638549454,0.8978096210843717,1.007414605917996,1.0405594237222036,1.0832105822691378,1.1230385179198772,1.1386272899053493,1.222674269211093,1.4670739731599318,,1.5661380241002016,1.607918756141626,1.6416653374152161,1.8734032017436122,1.9599517764170757,2.024440546453489,2.1098028134944933,2.1116895440334327,2.201904893762519,2.3736541042923736,2.5424947170936147,2.752801053383975,2.785025258354766,2.8082163814093155,,2.853779824234227,2.9088926679049463,2.973689636783173,3.0003478639566166,3.008302115675624,3.0148830799119177,3.0438288731096916,3.108933787178979,3.161670631112401,3.234027544282532,3.2566885719745935,3.269244478999026,3.284262252211127,3.3328563651058927,3.3365939540130993,3.41692379245128,3.430495774274355,3.5027500966283487,3.5088571182116346,3.632928291947265,3.7185742834939797,3.725748079291281,
BIOMASS,0.01,,,,,,,,,,,16.18,,,,,,,,,,,,,,44.92,,,,,,,,,,,,,,,43.7,,,,,,,,,,,,,,,,,,,,,,,47.56
