,ADP,ATP,AcAld,BPG,DHAP,F16bP,F6P,G1P,G3P,G6P,GAP,GLC,NAD,P2G,P3G,PEP,PYR,T6P,UDP,UTP,E4P,G6L,NADPH,P6G,R5P,Ru5P,S7P,X5P
0.0,1.29,4.29,0.178140579850657,0.000736873499865602,1.1613768527467,4.58321859006931,0.235441221891221,0.539248506344921,0.274002929191284,0.772483203645216,0.315891028770503,6.28000179338242,1.50329030201531,0.0677379081099344,0.469825011134444,0.610005413358042,2.10847140717419,0.02,0.2815,0.6491,0.029,0.1,0.16,0.25,0.118,0.033,0.082,0.041
1.1111111111111112,2.146264084295285,3.298458751076356,0.6092168970726741,0.001014208214460764,2.0560681585604055,4.093171539712664,0.4361178738360446,0.24332629750646662,0.27438200553544334,1.6020989228237585,0.08888886568919498,3.97536849233608,1.2136703118121632,0.04919962843850202,0.27514182601083875,0.24212307668464572,2.6114436480281995,0.01264791252927962,0.25391471522369014,0.4964399926337501,0.020195966528422957,0.36901902952659515,0.24545656955188308,0.22555841654835215,0.0920301952861879,0.034190038881394935,0.0676951054811268,0.05026975718704528
2.2222222222222223,2.3091477806587175,2.912490580280433,0.6477435563176369,0.0010012865121754695,2.00992338532118,3.976002018697839,0.5226205386956778,0.16240292354288022,0.2821719510344464,1.9124239744713893,0.08676993162693078,2.4026219774957243,1.2219554045533487,0.04806759333159011,0.26941620212528483,0.23422183966663224,2.6499625883037425,0.015629324875052548,0.26410476943057365,0.4426019769573925,0.022604393711155368,0.551450874067531,0.2407535832128598,0.22282241459774038,0.0854183202876372,0.03273201986603622,0.06019488146217724,0.04821861600975071
3.3333333333333335,2.3424744517085005,2.8015240408949684,0.6748228960790387,0.001005553780645616,1.9736594462797747,3.8609199195615265,0.5434391318328488,0.13851597773824728,0.2905654905222623,1.986021386549357,0.0851299834894397,1.4639211569743011,1.230815069670693,0.048640634481113006,0.27259274261809313,0.23691836928770785,2.6802238912526244,0.01644581661271379,0.2820797176880692,0.4176925824682911,0.024337357732872933,0.713891272817357,0.2349407361609638,0.2266598452092047,0.08208583787596928,0.03200427350492714,0.05665009107368995,0.04706542942927017
4.444444444444445,2.331615783736237,2.8147483073127075,0.7010176146639447,0.0010180244599249458,1.940757460951517,3.749398469631646,0.5269254857297351,0.13034781701820758,0.29723609746312135,1.9253187862676542,0.08364824550441038,1.05801970328986,1.2405044443693676,0.04999982419969597,0.2799152280094536,0.24429276134162295,2.7005474552823023,0.016205002818449443,0.29702872862862156,0.4054236945861382,0.024491428658756597,0.8583576834146244,0.22864225740784896,0.23367769536924252,0.08043231708761495,0.031687264220797505,0.055104337776618384,0.04643394666831088
5.555555555555555,2.3097752164266137,2.8666918836004056,0.7271664372611542,0.001032689290602936,1.9079158016323183,3.6346331457569176,0.4980878948096899,0.125703960460463,0.30157000899741493,1.8209140357928029,0.08217291326767262,0.9261029592872521,1.2503624533925226,0.05169721136283569,0.28901952509715784,0.25368216606729665,2.7151012715529035,0.015577830711082907,0.30556039741537383,0.4005198677638189,0.023670954382501542,0.9865080136785245,0.22235086135973176,0.241727560492055,0.07963754975915453,0.03160079464721134,0.05463879070775726,0.04611564579996114
6.666666666666667,2.289912950864918,2.91607524729317,0.7537426173011438,0.001046682606681397,1.873804408281415,3.5156985765046493,0.47106448342917173,0.1216020547172298,0.3038975713503754,1.7235329898640408,0.08064408879588658,0.8813053439434693,1.2600872535707064,0.053490355092379614,0.29862296169738933,0.26366412391242533,2.7264557084583263,0.014946227280892692,0.308298077839989,0.4001934773856808,0.0225288447169715,1.1006022855656141,0.21665755497717873,0.24969306358909596,0.07932942848078116,0.031655037954873455,0.05489872840991151,0.046016292728117185
7.777777777777779,2.2747682811806955,2.9534125625091585,0.7809796626041958,0.0010592983820827614,1.8388471430928746,3.395709832686059,0.4486560642453675,0.1176837873257007,0.3047638843277947,1.6429854230451761,0.07908014932052677,0.8605010810426319,1.2695271893921607,0.0552878686103213,0.3082423834541137,0.2737023755180013,2.7357599336265066,0.014414782436087799,0.3070283625048326,0.40248921572782875,0.021389038461465695,1.20282505419712,0.21173902766897654,0.2571322683875564,0.07934007981089335,0.031796540557630024,0.055699801627525296,0.04606715906584637
8.88888888888889,2.2639704397314118,2.979653695293002,0.8089181893910959,0.0010705668232908385,1.803796299048144,3.2775531661628587,0.4300729591300501,0.1140577590741506,0.3046249914948078,1.5762877320537194,0.07751396998920308,0.8479276005943434,1.2786023006542626,0.05706403046385127,0.3177422144992243,0.28364484099547027,2.7435184583730954,0.01397735031725105,0.30331668741129403,0.40606733533005346,0.020341219677526005,1.2949441366060355,0.20751417757915708,0.2638994643249145,0.07956493303582837,0.031989963678503965,0.05689480377222546,0.04621440212857266
10.0,2.256578655264477,2.997437428016611,0.8375309137385256,0.00108066359897238,1.7691923758119856,3.1629450861178996,0.41421752871470247,0.11080709685967746,0.30380847662276805,1.5194240866061783,0.07596918839832299,0.8393964351567659,1.2872811573055423,0.05881411456694457,0.3270977696584365,0.29346332644663614,2.7499643302022343,0.013609555231659527,0.29825568383396645,0.41007223769156936,0.019390215286751146,1.3783403896481834,0.20384882641705135,0.2699563775582217,0.07992574920775136,0.0322112251084047,0.05836405581484583,0.04641886477800247
