,0,1,2,3,4,5,6,7,8,9
0,4051206.77801044,22837.996891751747,4782604.6766876755,28217.433946749494,10773800.49911612,268061.9964612854,742148.4247679646,5236327.396656841,3704902.445856588,4117058.8384691803
1,4039246.2520502876,22788.68006917655,4766716.579447131,28154.49555684993,10743122.235282905,267334.26263339474,740092.4020246052,5221120.098971114,3694472.6253635986,4105274.7168999137
2,4026711.795403088,22736.97886923762,4750071.88302146,28088.51246031196,10710969.249105167,266571.5130008679,737937.4472490385,5205182.388754951,3683519.131529621,4092924.28331004
3,4013602.6233564923,22682.887011169052,4732670.520595569,28019.476330563524,10677339.087783981,265773.68372982193,735683.3791534813,5188513.151388121,3672062.1761837685,4080006.621468423
4,3999920.239441311,22626.40737046597,4714515.551480771,27947.39049179214,10642235.128828373,264940.8487658499,733330.4055765214,5171114.180113905,3660102.871058181,4066523.056757032
5,3985668.411587581,22567.551877791568,4695613.1288636625,27872.268441630815,10605666.52752218,264073.2183854071,730879.1193859628,5152990.108101243,3647644.289667105,4052477.132269646
6,3970853.1152734584,22506.341287464467,4675972.422455896,27794.138967580373,10567648.083508892,263171.05446230306,728330.4888479717,5134148.3941285005,3634691.4180493336,4037874.5549033512
7,3955482.446613261,22442.80482493876,4655605.499327264,27713.037551611935,10528199.968507482,262234.9907639802,725685.842769367,5114599.1731547,3621251.07924882,4022723.1076873303
8,3939566.508766556,22376.979727527676,4634527.1674344605,27629.011231668675,10487347.462520035,261265.53741468673,722946.851107022,5094355.122030675,3607331.8345695795,4007032.5402654163
9,3923117.2750986675,22308.91069513491,4612754.787308699,27542.116535908586,10445120.49812579,260263.3986696624,720115.5017996076,5073431.286436098,3592943.8652128717,3990814.433158956
10,3906148.2462516176,22238.649269394235,4590308.057999497,27452.418682924574,10401553.720530586,259229.38208154982,717194.0744912355,5051844.8847551765,3578098.83828402,3974082.048698711
11,3888674.4785138606,22166.25316028178,4567208.7836851925,27359.9907609579,10356685.36170416,258164.3883686423,714185.1119863377,5029615.094869331,3562809.7613093336,3956850.1647244324
12,3870713.2467341786,22091.78553902825,4543480.627366478,27264.912773408174,10310557.266500827,257069.4008302442,711091.3902318579,5006762.829799467,3547090.829936447,3939134.901725275
13,3852282.0277445004,22015.31431514518,4519148.858979748,27167.270755965335,10263214.309540236,255945.47370948739,707915.8875822101,4983310.507838052,3530957.269009694,3920953.546869893
14,3833399.6156587913,21936.91141375587,4494240.09624325,27067.155848621696,10214703.93347532,254793.72406781992,704661.7540354948,4959281.822322413,3514425.179548855,3902324.376620096
15,3814085.644864314,21856.652067363073,4468782.062300507,26964.663395549167,10165075.697249494,253615.31703350888,701332.2810438169,4934701.515568813,3497511.382469212,3883266.476607473
16,3794360.3906905134,21774.61405123496,4442803.33803621,26859.892078625362,10114380.83635159,252411.4581552515,697930.8724036403,4909595.160770318,3480233.256925849,3863799.576768777
17,3774244.6232252168,21690.87663667117,4416333.133392176,26752.943096518175,10062671.847873725,251185.30016203906,694461.0166307662,4883988.954909338,3462608.6463324823,3843943.8917004596
18,3753759.4494565525,21605.52236185207,4389401.071261299,26643.919398227335,10010002.103087874,249934.40588854824,690926.2611248522,4857909.5193925565,3444655.655095118,3823719.9711512504
19,3732926.171631595,21518.631468790267,4362036.987739174,26532.92497717283,9956425.489195177,248661.8179520204,687330.1883346051,4831296.190437481,3426392.5613972903,3803148.5620468105
20,3711766.192527389,21430.287813213774,4334270.7498492785,26420.0642293981,9901996.082989495,247368.80943711515,683676.3940504215,4804354.285358744,3407837.752779687,3782250.48273872
21,3690300.841845038,21340.572808878835,4306132.091343903,26305.438162967985,9846767.86235888,246056.37333435175,679968.4678783233,4777020.3236124,3389009.560550694,3761046.509102345
22,3668551.275472541,21249.5696247317,4277650.466664838,26189.1569189248,9790794.43931849,244723.97232551736,676209.9758880581,4749321.11163949,3369926.2030063174,3739557.275094414
23,3646538.404004418,21157.358227995595,4248854.922726697,26071.319514996005,9734128.84940388,243379.76982959217,672404.4453798317,4721283.082762832,3350605.66376565,3717803.186984015
24,3624282.814203606,21064.018158274856,4219773.98785727,25952.02683535393,9676823.469104733,242017.74332021287,668555.3516769912,4692932.26543284,3331065.712044117,3695804.341573913
25,3601804.7025643517,20969.627498071095,4190435.5769863655,25831.377913067652,9618929.585589519,240638.4973449105,664666.1068254975,4664294.19565537,3311323.757217645,3673580.4632104803
26,3579123.584430771,20874.262545596164,4160866.912007787,25709.469823945827,9560497.399314016,239249.05878244774,660740.0501049618,4635393.855546392,3291396.836385378,3651150.8477480346
27,3556259.212811834,20777.996591397194,4131094.456135969,25586.397544910727,9501575.818712013,237847.7617336513,656780.4399570891,4606255.598616981,3271301.5843369886,3628534.3177521494
28,3533230.00362271,20680.90206010238,4101143.85198352,25462.25308949635,9442212.398237016,236435.72871922553,652790.4486363448,4576903.111687312,3251054.201535961,3605749.184368666
29,3510054.1566028055,20583.049408428473,4071039.916081463,25337.125775651624,9382453.290396905,235008.46922445617,648773.154382098,4547359.374109285,3230670.3868279215,3582813.219098392
30,3486749.24567225,20484.50680984576,4040806.554551086,25211.102103395755,9322343.187143084,233578.1430775221,644731.5405211688,4517646.628470723,3210165.3663328188,3559738.213180451
31,3463332.244150005,20385.33985209292,4010466.776439147,25084.26567965779,9261925.27714042,232140.24352959526,640668.4908048582,4487786.359216089,3189553.8400293333,3536551.575214173
32,3439819.515166802,20285.612014459384,3980042.6694264677,24956.697072045416,9201241.216875387,230695.74984960837,636586.7857571867,4457799.278221231,3168850.0080540623,3513264.0191479977
33,3416226.799171878,20185.383489534808,3949555.413445003,24828.474175522493,9140331.130557902,229245.61856221993,632489.1126611937,4427705.316432368,3148067.5215448537,3489890.991488567
34,3392569.248146775,20084.712239054854,3919025.1941324067,24699.67154699481,9079233.572709054,227790.75742304462,628378.0430490175,4397524.692384781,3127219.5677559315,3466447.339602975
35,3368861.441636071,19983.65342523061,3888471.3331188355,24570.361047668823,9017985.487184742,226332.0064174788,624256.075480641,4367273.586530456,3106318.745948998,3442947.312710074
36,3345117.2406856,19882.259722524537,3857912.2390199737,24440.611380290524,8956622.56320193,224870.27860832767,620125.5899529789,4336970.690203232,3085377.1552170245,3419404.56579793
37,3321349.798213809,19780.581417831752,3827365.3837480424,24310.48823468191,8895179.040837253,223406.33651191366,615988.8545508372,4306632.821619304,3064406.3788619577,3395832.169481286
38,3297571.9344918937,19678.666448485877,3796847.3897091825,24180.054449087602,8833686.084579289,221940.94341327617,611848.0397914852,4276276.036717852,3043417.520732917,3372242.6346276193
39,3273795.58748942,19576.560399322618,3766374.072551304,24049.370625333944,8772175.328153303,220474.83796879768,607705.2161561383,4245915.648704437,3022457.3955807495,3348647.8601986594
40,3250032.1891460195,19474.308137794975,3735960.1987935007,23918.493222564786,8710676.230366642,219008.71749036983,603562.359250585,4215566.241918549,3001427.3656112794,3325059.1788618485
41,3226292.659287659,19371.949617247843,3705619.8897251766,23787.477021339517,8649216.842266032,217543.25021571282,599421.351449923,4185241.7511721714,2980445.720742981,3301487.3767564874
42,3202587.3168514585,19269.52307597142,3675366.441191402,23656.373773521576,8587823.803070454,216079.06877372938,595283.9822855267,4154955.2341343802,2959485.351417548,3277942.708000502
43,3178926.0781849655,19167.065644309354,3645212.357288364,23525.2326387787,8526522.457577681,214616.77523084235,591151.9521467328,4124719.252029337,2938554.9343137783,3254434.9091614094
44,3155318.1445346074,19064.612205740763,3615169.3936399585,23394.100258804123,8465336.816359537,213156.9360452298,587026.8749070552,4094545.6537934975,2917662.664657287,3230973.214447347
45,3131772.405040187,18962.1957172882,3585248.5834452584,23263.020850218392,8404289.622124845,211700.1031704848,582910.281141762,4064445.653810622,2896816.3556646844,3207566.3711959543
46,3108297.2128354316,18859.847275799333,3555460.264663829,23132.036217505378,8343402.902846197,210246.78473773046,578803.6301060094,4034429.852565981,2876023.380062397,3184222.655637576
47,3084900.498363203,18757.591230653525,3525814.102812849,23001.185920004336,8282695.975548849,208797.46544159998,574708.2967942386,4004508.2574894885,2855290.709804983,3160949.888801383
48,3061589.608051124,18655.46024845803,3496319.122969766,22870.507301830963,8222188.536336426,207352.6039336319,570625.5718386794,3974690.3038607542,2834624.9292465015,3137755.452467586
49,3038371.4439510214,18553.48251278594,3466983.7320219586,22740.035570626187,8161898.682180061,205912.63269466086,566556.6722345896,3944984.875668103,2814032.2534252075,3114646.305083477
50,3015252.4896741104,18451.682080913986,3437815.7451496273,22609.80388206203,8101843.451775684,204477.9593756944,562502.7457519121,3915400.326329811,2793518.572061212,3091628.990034617
