,Infected,Recovered,Susceptible
0.0,1.263902932254803e-07,0.0,0.9999999999999968
0.1111111111111111,1.2977719935197418e-07,1.99229772997758e-09,0.9999999946207931
0.2222222222222222,1.3325472349330033e-07,4.037900192288305e-09,0.9999999890976663
0.3333333333333333,1.3682530445527444e-07,6.138241980037185e-09,0.9999999834267436
0.4444444444444444,1.4049161277218658e-07,8.294893997541403e-09,0.9999999776037832
0.5555555555555556,1.442563189783268e-07,1.050942714911815e-08,0.9999999716245439
0.6666666666666666,1.4812209360798506e-07,1.2783412339084605e-08,0.9999999654847841
0.7777777777777777,1.5209160719545138e-07,1.5118420471757953e-08,0.9999999591802624
0.8888888888888888,1.5616753027501584e-07,1.7516022451455385e-08,0.9999999527067374
1.0,1.6035253338096837e-07,1.997778918249409e-08,0.9999999460599676
