,R,C,I,X,A
0.0,1.0,0.0,1.0,0.0,0.0
277.77777777777777,1.357367628415342,0.002201267327159964,1.1037298932199577,4.858538532508046e-05,0.25723778875607345
555.5555555555555,2.076351165403603,0.0033590638534406764,1.4975828763919425,0.00010059822439311294,0.584626880491475
833.3333333333333,3.425252433207672,0.005489448809706509,2.136862556809292,0.0002345524773067266,1.2979044910206503
1111.111111111111,7.049108292487627,0.011041601564412615,3.4437034872093175,0.0007603582799341912,3.6237304073757204
1388.888888888889,22.9616312328779,0.03445118867244054,6.252897195663584,0.00430740031251259,16.761688506330355
1666.6666666666665,102.28244402101862,0.1552184324184297,6.804216366370279,0.02111909577541899,95.70935873278968
1944.4444444444443,237.16816987805524,0.3795542888539192,4.687231151891763,0.03557700279454168,233.0996879029869
2222.222222222222,326.3565716199394,0.5339022219824159,3.832140968919258,0.04091526649550789,323.4797692898326
2500.0,368.4074441779146,0.6075496586182144,3.5259767412070575,0.04283975369500698,366.03229174448126
